city,state
Sydney,New South Wales
Melbourne,Victoria
Brisbane,Queensland
Perth,Western Australia
Adelaide,South Australia
Gold Coast,Queensland
Cranbourne,Victoria
Canberra,Australian Capital Territory
Newcastle,New South Wales
Wollongong,New South Wales
Geelong,Victoria
Hobart,Tasmania
Townsville,Queensland
Ipswich,Queensland
Cairns,Queensland
Toowoomba,Queensland
Darwin,Northern Territory
Ballarat,Victoria
Bendigo,Victoria
Launceston,Tasmania
Mackay,Queensland
Rockhampton,Queensland
Maitland,New South Wales
Bunbury,Western Australia
Coffs Harbour,New South Wales
Bundaberg,Queensland
Wagga Wagga,New South Wales
Hervey Bay,Queensland
Shepparton,Victoria
Albury,New South Wales
Port Macquarie,New South Wales
Pakenham,Victoria
Tamworth,New South Wales
Caloundra,Queensland
Orange,New South Wales
Dubbo,New South Wales
Geraldton,Western Australia
Nowra,New South Wales
Bathurst,New South Wales
Queanbeyan,New South Wales
Frankston,Victoria
Sunbury,Victoria
Warrnambool,Victoria
Wodonga,Victoria
Albany,Western Australia
Gladstone,Queensland
Mildura,Victoria
Southport,Queensland
Alice Springs,Northern Territory
Dandenong,Victoria
Kalgoorlie,Western Australia
Mount Gambier,South Australia
Lismore,New South Wales
Maryborough,Queensland
Quakers Hill,New South Wales
Gawler,South Australia
Caboolture,Queensland
Ballina,New South Wales
Taree,New South Wales
Traralgon,Victoria
Busselton,Western Australia
Armidale,New South Wales
Goulburn,New South Wales
Devonport,Tasmania
Bacchus Marsh,Victoria
Whyalla,South Australia
Cessnock,New South Wales
Gympie,Queensland
Griffith,New South Wales
Kwinana,Western Australia
Burnie,Tasmania
Wangaratta,Victoria
Grafton,New South Wales
Yeppoon,Queensland
Murray Bridge,South Australia
Mount Isa,Queensland
Narangba,Queensland
Mount Eliza,Victoria
Broken Hill,New South Wales
Nerang,Queensland
Karratha,Western Australia
Mount Barker,South Australia
Horsham,Victoria
Lara,Victoria
Singleton,New South Wales
Port Lincoln,South Australia
Banora Point,New South Wales
Warwick,Queensland
Rochedale,Queensland
Kempsey,New South Wales
Ulladulla,New South Wales
Sale,Victoria
Echuca,Victoria
Australind,Western Australia
Broome,Western Australia
Port Hedland,Western Australia
Warragul,Victoria
Port Pirie,South Australia
Barwon Heads,Victoria
Emerald,Queensland
Ulverstone,Tasmania
Morwell,Victoria
Gisborne,Victoria
Port Augusta,South Australia
Forster,New South Wales
Penrith,New South Wales
Torquay,Victoria
Jimboomba,Queensland
Lithgow,New South Wales
Bowral,New South Wales
Goonellabah,New South Wales
Raymond Terrace,New South Wales
Leopold,Victoria
Dalby,Queensland
Campbelltown,New South Wales
Colac,Victoria
Muswellbrook,New South Wales
Esperance,Western Australia
Drouin,Victoria
Rutherford,New South Wales
Nelson Bay,New South Wales
Inverell,New South Wales
Parkes,New South Wales
Somerville,Victoria
Gracemere,Queensland
Batemans Bay,New South Wales
Nambour,Queensland
Swan Hill,Victoria
Mareeba,Queensland
